kode_mapel;nama_mapel;kategori_ mapel
1;Pendidikan Agama Islam dan Budi Pekerti;2
2;Pendidikan Agama dan Budi Pekerti (Agama Lainnya);2
3;Pendidikan Pancasila dan Kewarganegaraan;2
4;Bahasa Indonesia;2
5;Matematika;2
6;Sejarah Indonesia;2
7;Bahasa Inggris;2
8;Seni Budaya;2
9;Pendidikan Jasmani, Olah Raga dan Kesehatan;2
10;Simulasi dan Komunikasi Digital;2
11;Ekonomi Bisnis;2
12;Administrasi Umum;2
13;IPA;2
14;Etika Profesi;2
15;Aplikasi Pengolah Angka (Spreadsheet);2
16;Akuntansi Dasar;2
17;Perbankan Dasar;2
18;Praktikum Akuntansi Perusahaan Jasa, Dagang dan Manufaktur;2
19;Praktikum Akuntansi Lembaga atau Instansi Pemerintah;2
20;Akuntansi Keuangan;2
21;Komputer Akuntansi;2
22;Administrasi Pajak;2
23;Produk Kreatif dan Kewirausahaan;2
24;Pendidikan Agama Islam dan Budi Pekerti;3
25;Pendidikan Agama dan Budi Pekerti (Agama Lainnya);3
26;Pendidikan Pancasila dan Kewarganegaraan;3
27;Bahasa Indonesia;3
28;Matematika;3
29;Sejarah Indonesia;3
30;Bahasa Inggris;3
31;Seni Budaya;3
32;Pendidikan Jasmani, Olah Raga dan Kesehatan;3
33;Simulasi dan Komunikasi Digital;3
34;Fisika;3
35;Kimia;3
36;Sistem Komputer;3
37;Komputer dan Jaringan Dasar ;3
38;Pemrograman Dasar  ;3
39;Dasar Desain Grafis ;3
40;Desain Grafis Percetakan ;3
41;Desain Media Interaktif ;3
42;Teknik Animasi 2D dan 3D ;3
43;Teknik Pengolahan Audio dan Video ;3
44;Produk Kreatif dan Kewirausahaan;3
45;Pendidikan Agama Islam dan Budi Pekerti;1
46;Pendidikan Agama dan Budi Pekerti (Agama Lainnya);1
47;Pendidikan Pancasila dan Kewarganegaraan;1
48;Bahasa Indonesia;1
49;Matematika;1
50;Sejarah Indonesia;1
51;Bahasa Inggris;1
52;Seni Budaya;1
53;Pendidikan Jasmani, Olah Raga dan Kesehatan;1
54;Simulasi dan Komunikasi Digital;1
55;Ekonomi Bisnis;1
56;Administrasi Umum;1
57;IPA;1
58;Teknologi Perkantoran;1
59;Korespondensi;1
60;Kearsipan;1
61;Otomatisasi Tata Kelola Kepegawaian;1
62;Otomatisasi Tata Kelola Keuangan;1
63;Otomatisasi Tata Kelola Sarana dan Prasarana;1
64;Otomatisasi Tata Kelola Humas dan Keprotokolan;1
65;Produk Kreatif dan Kewirausahaan;1
66;Pendidikan Agama Islam dan Budi Pekerti;4
67;Pendidikan Agama dan Budi Pekerti (Agama Lainnya);4
68;Pendidikan Pancasila dan Kewarganegaraan;4
69;Bahasa Indonesia;4
70;Matematika;4
71;Sejarah Indonesia;4
72;Bahasa Inggris;4
73;Seni Budaya;4
74;Pendidikan Jasmani, Olah Raga dan Kesehatan;4
75;Simulasi dan Komunikasi Digital;4
76;Ekonomi Bisnis;4
77;Administrasi Umum;4
78;IPA;4
79;Marketing;4
80;Perencanaan Bisnis;4
81;Komunikasi Bisnis;4
82;Penataan Produk;4
83;Bisnis Online;4
84;Pengelolaan Bisnis Ritel;4
85;Administrasi Transaksi;4
86;Produk Kreatif dan Kewirausahaan;4
